Restaurant,City,Country,Latitude,Longitude
Señor Froy´s,San Patricio,Mexico,19.22,-104.7
Roulotte Heremoana,Atuona,French Polynesia,-9.8,-139.03
"Iaorana Gelato Homemade Italian Ice Cream, internet point (WiFi free)",Faanui,French Polynesia,-16.48,-151.75
Le Bout du Monde,Tautira,French Polynesia,-17.73,-149.15
Bimini Big John's,Alice Town,Bahamas,25.72,-79.3
Taquería Lupita,Pochutla,Mexico,15.74,-96.47
Hotel Tesoro Los Cabos,Cabo San Lucas,Mexico,22.89,-109.91
Hukilau Lanai,Kapaa,United States,22.08,-159.32
Hungry's Food Van,The Valley,Anguilla,18.22,-63.06
بيت البيتزا,Buraidah,8XGV+M5 Buraydah Saudi Arabia,26.33,43.98
Subway,Fortuna Foothills,United States,32.66,-114.41
Paradise Cove Luau,Makakilo City,United States,21.35,-158.09
كافتيريا ناصير,Umluj,279C+46 Umluj Saudi Arabia,25.02,37.27
لقمینو | Loqmino,Dārāb,Iran,28.75,54.54
birrieria El Shaddai,Nazareno,Mexico,25.38,-103.42
Little Caesars Pizza,Topeka,United States,39.05,-95.68
Painted Pony Restaurant,Saint George,United States,37.1,-113.58
Darchin Restaurant,Semnan,Iran,35.57,53.4
Makutano Restaurant & Bar,Kilindoni,Tanzania,-7.91,39.67
Restaurant Udiamoral,Oussouye,Senegal,12.48,-16.55
Subway,San Jose de Guanipa,Venezuela,8.89,-64.17
Rozna Muscat روزنة مسقط,Muscat,Oman,23.61,58.59
مطعم مرزوقة,Abnūb,Egypt,27.27,31.15
Izzy's,Fare,French Polynesia,-16.7,-151.02
حديقة ظلال إفريقيا,Abéché,Chad,13.83,20.83
McDonald's,Aswān,Egypt,24.09,32.91
Manouchehri Traditional House And Hotel,Kashan,Iran,33.98,51.44
Balankwace Tea And Indomie,Gashua,Nigeria,12.87,11.05
Subway,Galveston,United States,29.37,-94.97
Apetahi Grill,Tevaitoa,French Polynesia,-16.78,-151.5
Subway,Princeton,United States,25.54,-80.41
Hotel Sofitel Bora Bora Marara Beach Resort,Vaitape,French Polynesia,-16.52,-151.75
El Mañanero Restaurante,Cananea,Mexico,30.95,-110.3
